 wavenumber    crosssection    coefficient
 2021.791940    6.9703148270E-23    2.0028760565E-03
 2021.796730    6.9813288671E-23    2.0060408716E-03
 2021.801520    6.9925960406E-23    2.0092784229E-03
 2021.806310    7.0041187660E-23    2.0125894055E-03
 2021.811100    7.0158995043E-23    2.0159745264E-03
 2021.815890    7.0279407586E-23    2.0194345050E-03
 2021.820680    7.0402450755E-23    2.0229700729E-03
 2021.825470    7.0528150452E-23    2.0265819745E-03
 2021.830260    7.0656533038E-23    2.0302709673E-03
 2021.835050    7.0787625322E-23    2.0340378215E-03
 2021.839840    7.0921454594E-23    2.0378833213E-03
 2021.844630    7.1058048606E-23    2.0418082642E-03
 2021.849420    7.1197435604E-23    2.0458134618E-03
 2021.854210    7.1339629329E-23    2.0498993089E-03
 2021.859000    7.1484689059E-23    2.0540675088E-03
 2021.863790    7.1632629534E-23    2.0583184852E-03
 2021.868580    7.1783481061E-23    2.0626531088E-03
 2021.873370    7.1937274470E-23    2.0670722655E-03
 2021.878160    7.2094041152E-23    2.0715768574E-03
 2021.882950    7.2253813067E-23    2.0761678027E-03
 2021.887740    7.2416622748E-23    2.0808460363E-03
 2021.892530    7.2582503315E-23    2.0856125099E-03
 2021.897320    7.2751488496E-23    2.0904681926E-03
 2021.902110    7.2923612644E-23    2.0954140716E-03
 2021.906900    7.3098910734E-23    2.1004511518E-03
 2021.911690    7.3277418391E-23    2.1055804569E-03
 2021.916480    7.3459171906E-23    2.1108030296E-03
 2021.921270    7.3644208249E-23    2.1161199324E-03
 2021.926060    7.3832565073E-23    2.1215322471E-03
 2021.930850    7.4024280761E-23    2.1270410766E-03
 2021.935640    7.4219394410E-23    2.1326475444E-03
 2021.940430    7.4417945861E-23    2.1383527953E-03
 2021.945220    7.4619975722E-23    2.1441579960E-03
 2021.950010    7.4825525381E-23    2.1500643360E-03
 2021.954800    7.5034637031E-23    2.1560730276E-03
 2021.959590    7.5247353671E-23    2.1621853062E-03
 2021.964380    7.5463719142E-23    2.1684024317E-03
 2021.969170    7.5683778150E-23    2.1747256887E-03
 2021.973960    7.5907576266E-23    2.1811563866E-03
 2021.978750    7.6135159966E-23    2.1876958608E-03
 2021.983540    7.6366576636E-23    2.1943454731E-03
 2021.988330    7.6601874613E-23    2.2011066122E-03
 2021.993120    7.6841103177E-23    2.2079806943E-03
 2021.997910    7.7084347118E-23    2.2149701557E-03
 2022.002700    7.7331588696E-23    2.2220744867E-03
 2022.007490    7.7582914708E-23    2.2292961813E-03
 2022.012280    7.7838378441E-23    2.2366367708E-03
 2022.017070    7.8098034421E-23    2.2440978218E-03
 2022.021860    7.8361938099E-23    2.2516809277E-03
 2022.026650    7.8630146088E-23    2.2593877153E-03
 2022.031440    7.8902716154E-23    2.2672198445E-03
 2022.036230    7.9179707211E-23    2.2751790080E-03
 2022.041020    7.9461179354E-23    2.2832669327E-03
 2022.045810    7.9747193894E-23    2.2914853804E-03
 2022.050600    8.0037813358E-23    2.2998361476E-03
 2022.055390    8.0333101537E-23    2.3083210674E-03
 2022.060180    8.0633123495E-23    2.3169420094E-03
 2022.064970    8.0937945589E-23    2.3257008802E-03
 2022.069760    8.1247635500E-23    2.3345996247E-03
 2022.074550    8.1562262259E-23    2.3436402264E-03
 2022.079340    8.1881896266E-23    2.3528247083E-03
 2022.084130    8.2206609301E-23    2.3621551328E-03
 2022.088920    8.2536474370E-23    2.3716335978E-03
 2022.093710    8.2871566526E-23    2.3812622598E-03
 2022.098500    8.3211961674E-23    2.3910432999E-03
 2022.103290    8.3557737403E-23    2.4009789477E-03
 2022.108080    8.3908972817E-23    2.4110714760E-03
 2022.112870    8.4265748550E-23    2.4213232020E-03
 2022.117660    8.4628146799E-23    2.4317364874E-03
 2022.122450    8.4996251341E-23    2.4423137395E-03
 2022.127240    8.5370147551E-23    2.4530574116E-03
 2022.132030    8.5749922443E-23    2.4639700039E-03
 2022.136820    8.6135664678E-23    2.4750540640E-03
 2022.141610    8.6527464596E-23    2.4863121878E-03
 2022.146400    8.6925414237E-23    2.4977470201E-03
 2022.151190    8.7329607375E-23    2.5093612553E-03
 2022.155980    8.7740139526E-23    2.5211576380E-03
 2022.160770    8.8157107984E-23    2.5331389640E-03
 2022.165560    8.8580611852E-23    2.5453080808E-03
 2022.170350    8.9010752054E-23    2.5576678886E-03
 2022.175140    8.9447631362E-23    2.5702213403E-03
 2022.179930    8.9891354427E-23    2.5829714430E-03
 2022.184720    9.0342027813E-23    2.5959212589E-03
 2022.189510    9.0799760004E-23    2.6090739051E-03
 2022.194300    9.1264661446E-23    2.6224325551E-03
 2022.199090    9.1736844558E-23    2.6360004394E-03
 2022.203880    9.2216423778E-23    2.6497808462E-03
 2022.208670    9.2703515578E-23    2.6637771222E-03
 2022.213460    9.3198238493E-23    2.6779926735E-03
 2022.218250    9.3700713149E-23    2.6924309662E-03
 2022.223040    9.4211062287E-23    2.7070955272E-03
 2022.227830    9.4729410798E-23    2.7219899452E-03
 2022.232620    9.5255885751E-23    2.7371178713E-03
 2022.237410    9.5790616408E-23    2.7524830199E-03
 2022.242200    9.6333734261E-23    2.7680891692E-03
 2022.246990    9.6885373071E-23    2.7839401630E-03
 2022.251780    9.7445668876E-23    2.8000399100E-03
 2022.256570    9.8014760030E-23    2.8163923858E-03
 2022.261360    9.8592787226E-23    2.8330016331E-03
 2022.266150    9.9179893531E-23    2.8498717630E-03
 2022.270940    9.9776224411E-23    2.8670069551E-03
 2022.275730    1.0038192775E-22    2.8844114591E-03
 2022.280520    1.0099716701E-22    2.9020899716E-03
 2022.285310    1.0162206879E-22    2.9200461305E-03
 2022.290100    1.0225680150E-22    2.9382847753E-03
 2022.294890    1.0290152302E-22    2.9568104420E-03
 2022.299680    1.0355639376E-22    2.9756277400E-03
 2022.304470    1.0422157669E-22    2.9947413525E-03
 2022.309260    1.0489723742E-22    3.0141560380E-03
 2022.314050    1.0558354416E-22    3.0338766299E-03
 2022.318840    1.0628066779E-22    3.0539080381E-03
 2022.323630    1.0698878184E-22    3.0742552492E-03
 2022.328420    1.0770806252E-22    3.0949233265E-03
 2022.333210    1.0843868876E-22    3.1159174113E-03
 2022.338000    1.0918084222E-22    3.1372427234E-03
 2022.342790    1.0993470725E-22    3.1589045602E-03
 2022.347580    1.1070047099E-22    3.1809082989E-03
 2022.352370    1.1147832331E-22    3.2032593954E-03
 2022.357160    1.1226845686E-22    3.2259633852E-03
 2022.361950    1.1307106703E-22    3.2490258828E-03
 2022.366740    1.1388635201E-22    3.2724525830E-03
 2022.371530    1.1471451272E-22    3.2962492595E-03
 2022.376320    1.1555575288E-22    3.3204217655E-03
 2022.381110    1.1641027895E-22    3.3449760337E-03
 2022.385900    1.1727830012E-22    3.3699180752E-03
 2022.390690    1.1816002832E-22    3.3952539798E-03
 2022.395480    1.1905567819E-22    3.4209899146E-03
 2022.400270    1.1996546705E-22    3.4471321243E-03
 2022.405060    1.2088961485E-22    3.4736869292E-03
 2022.409850    1.2182834418E-22    3.5006607251E-03
 2022.414640    1.2278188027E-22    3.5280599841E-03
 2022.419430    1.2375045063E-22    3.5558912432E-03
 2022.424220    1.2473428549E-22    3.5841611181E-03
 2022.429010    1.2573361741E-22    3.6128762911E-03
 2022.433800    1.2674868126E-22    3.6420435114E-03
 2022.438590    1.2777971420E-22    3.6716695936E-03
 2022.443380    1.2882695556E-22    3.7017614143E-03
 2022.448170    1.2989064673E-22    3.7323259101E-03
 2022.452960    1.3097103109E-22    3.7633700742E-03
 2022.457750    1.3206835387E-22    3.7949009531E-03
 2022.462540    1.3318286203E-22    3.8269256429E-03
 2022.467330    1.3431480412E-22    3.8594512857E-03
 2022.472120    1.3546443013E-22    3.8924850649E-03
 2022.476910    1.3663199133E-22    3.9260342005E-03
 2022.481700    1.3781774008E-22    3.9601059440E-03
 2022.486490    1.3902192967E-22    3.9947075733E-03
 2022.491280    1.4024481407E-22    4.0298463860E-03
 2022.496070    1.4148664773E-22    4.0655296939E-03
 2022.500860    1.4274768532E-22    4.1017648149E-03
 2022.505650    1.4402818153E-22    4.1385590667E-03
 2022.510440    1.4532839070E-22    4.1759197581E-03
 2022.515230    1.4664856659E-22    4.2138541809E-03
 2022.520020    1.4798896206E-22    4.2523696001E-03
 2022.524810    1.4934982867E-22    4.2914732449E-03
 2022.529600    1.5073141639E-22    4.3311722979E-03
 2022.534390    1.5213397318E-22    4.3714738835E-03
 2022.539180    1.5355774454E-22    4.4123850568E-03
 2022.543970    1.5500297315E-22    4.4539127903E-03
 2022.548760    1.5646989832E-22    4.4960639611E-03
 2022.553550    1.5795875556E-22    4.5388453360E-03
 2022.558340    1.5946977600E-22    4.5822635564E-03
 2022.563130    1.6100318587E-22    4.6263251231E-03
 2022.567920    1.6255920589E-22    4.6710363782E-03
 2022.572710    1.6413805064E-22    4.7164034876E-03
 2022.577500    1.6573992793E-22    4.7624324223E-03
